,path,approach,replication_group,source,target,dataset,backbone,adaption_mode,test/source/rmse/dataloader_idx_0,test/source/score/dataloader_idx_0,test/target/score/dataloader_idx_1,test/target/rmse/dataloader_idx_1,validation,epoch_time
76,rul-adapt/benchmark/ifhmsop6,AdaRulApproach,0e198dbd-8548-46aa-a93c-ebad5cacee67,2,1,xjtu-sy,cnn,transductive,0.2843252420425415,0.07875439524650574,0.19077220559120175,0.4017409086227417,0.293537437915802,1.5625276565551758
77,rul-adapt/benchmark/mnpvkwqe,AdaRulApproach,0e198dbd-8548-46aa-a93c-ebad5cacee67,2,1,xjtu-sy,cnn,transductive,0.35011738538742065,0.049080997705459595,0.19816361367702484,0.42156049609184265,0.27823641896247864,4.9480138421058655
78,rul-adapt/benchmark/mbhswsf8,AdaRulApproach,0e198dbd-8548-46aa-a93c-ebad5cacee67,2,1,xjtu-sy,cnn,transductive,0.33563676476478577,0.09037038683891296,0.17951054871082306,0.3744360506534576,0.23082947731018064,5.662116169929504
79,rul-adapt/benchmark/15fodm6b,AdaRulApproach,1f315d2a-7dad-4365-8382-9468a7ef5ff3,1,3,xjtu-sy,cnn,transductive,0.3423091471195221,0.1929151564836502,0.10948570817708968,0.28941595554351807,0.3477952778339386,1.0914136568705242
80,rul-adapt/benchmark/zhr5fc1w,AdaRulApproach,0e198dbd-8548-46aa-a93c-ebad5cacee67,2,1,xjtu-sy,cnn,transductive,0.30324751138687134,0.08213464915752411,0.1957496702671051,0.4066784381866455,0.2688548266887665,1.878166675567627
81,rul-adapt/benchmark/5ymrmogt,AdaRulApproach,1f315d2a-7dad-4365-8382-9468a7ef5ff3,1,3,xjtu-sy,cnn,transductive,0.4845663905143738,0.19316011667251587,0.10207580775022508,0.36295172572135925,0.3203878700733185,1.0848792394002278
82,rul-adapt/benchmark/qtjxk61v,AdaRulApproach,0c8f1776-8470-4eab-817b-158dd2136b59,1,2,xjtu-sy,cnn,transductive,0.46193867921829224,0.1976652592420578,0.09865890443325044,0.3375629782676697,0.12065786123275755,1.303688645362854
83,rul-adapt/benchmark/44auunho,AdaRulApproach,0c8f1776-8470-4eab-817b-158dd2136b59,1,2,xjtu-sy,cnn,transductive,0.3506646454334259,0.2023744285106659,0.06925372034311295,0.2820489704608917,0.17350129783153534,1.6888285279273987
84,rul-adapt/benchmark/oebncxbh,AdaRulApproach,1f315d2a-7dad-4365-8382-9468a7ef5ff3,1,3,xjtu-sy,cnn,transductive,0.38814157247543335,0.20209021866321564,0.10495937615633012,0.313369482755661,0.3169252872467041,1.3383659323056538
85,rul-adapt/benchmark/ebvc6i7z,AdaRulApproach,0c8f1776-8470-4eab-817b-158dd2136b59,1,2,xjtu-sy,cnn,transductive,0.47076883912086487,0.1993717849254608,0.09978104382753372,0.3565802276134491,0.1300232857465744,1.618087887763977
86,rul-adapt/benchmark/egjmvztz,AdaRulApproach,1f315d2a-7dad-4365-8382-9468a7ef5ff3,1,3,xjtu-sy,cnn,transductive,0.5026721954345703,0.18073584139347076,2.3590124328620732e-05,0.5983288884162903,0.65778648853302,1.1519533395767212
87,rul-adapt/benchmark/na88zv69,AdaRulApproach,0c8f1776-8470-4eab-817b-158dd2136b59,1,2,xjtu-sy,cnn,transductive,0.440483033657074,0.21030649542808533,0.1098555624485016,0.3544144034385681,0.16433997452259064,1.3014049530029297
88,rul-adapt/benchmark/o4v4w2f9,AdaRulApproach,1f315d2a-7dad-4365-8382-9468a7ef5ff3,1,3,xjtu-sy,cnn,transductive,0.6585198640823364,0.09781263768672945,0.1395464390516281,0.9365426301956176,0.2916257679462433,1.5730836656358507
89,rul-adapt/benchmark/pujufl8w,AdaRulApproach,0c8f1776-8470-4eab-817b-158dd2136b59,1,2,xjtu-sy,cnn,transductive,0.5175157189369202,0.16447708010673523,0.0645354762673378,0.3631923794746399,0.1251332014799118,1.3070955872535706
90,rul-adapt/benchmark/weywortx,AdaRulApproach,c12268e4-3fc2-4b1a-bc6b-68f7e57eca31,3,2,femto,cnn,transductive,0.5462203025817871,0.0365208312869072,0.22670140862464905,0.29420775175094604,0.272430956363678,0.6480022072792053
91,rul-adapt/benchmark/7g348dc6,AdaRulApproach,b5840cc3-2680-4b68-8a0c-b124aae1ac81,2,3,femto,cnn,transductive,0.34568163752555847,0.19042782485485077,0.17084939777851105,0.4903866648674011,0.3681732416152954,2.2617547512054443
92,rul-adapt/benchmark/c3z6v2dl,AdaRulApproach,c12268e4-3fc2-4b1a-bc6b-68f7e57eca31,3,2,femto,cnn,transductive,0.552183210849762,0.02468964457511902,0.2075268179178238,0.28374382853507996,0.3021812438964844,1.3053500056266785
93,rul-adapt/benchmark/k32e8uyx,AdaRulApproach,b5840cc3-2680-4b68-8a0c-b124aae1ac81,2,3,femto,cnn,transductive,0.3033415675163269,0.16225124895572662,0.15822461247444153,0.4778366684913635,0.3303229808807373,2.0903033018112183
94,rul-adapt/benchmark/ht5tcdk3,AdaRulApproach,c12268e4-3fc2-4b1a-bc6b-68f7e57eca31,3,2,femto,cnn,transductive,0.5500200390815735,1.23991378586652e-06,0.16244859993457794,0.25489017367362976,0.32370588183403015,0.6521862745285034
95,rul-adapt/benchmark/0crhl1k6,AdaRulApproach,b5840cc3-2680-4b68-8a0c-b124aae1ac81,2,3,femto,cnn,transductive,0.3821888267993927,0.2095622718334198,0.17571859061717987,0.5839634537696838,0.4177095592021942,1.2184761762619019
96,rul-adapt/benchmark/69yiqmd0,AdaRulApproach,c12268e4-3fc2-4b1a-bc6b-68f7e57eca31,3,2,femto,cnn,transductive,0.5948929786682129,4.4462862547334225e-07,0.16426914930343628,0.2655283212661743,0.3297375738620758,0.6671902537345886
97,rul-adapt/benchmark/xi664kpc,AdaRulApproach,b5840cc3-2680-4b68-8a0c-b124aae1ac81,2,3,femto,cnn,transductive,0.2952173054218292,0.1531006246805191,0.15768514573574066,0.4480841457843781,0.313909113407135,1.197059452533722
98,rul-adapt/benchmark/jy47dwyg,AdaRulApproach,c12268e4-3fc2-4b1a-bc6b-68f7e57eca31,3,2,femto,cnn,transductive,0.5780567526817322,0.018689125776290897,0.200209841132164,0.2740090489387512,0.25045573711395264,0.6549779176712036
99,rul-adapt/benchmark/d9gwmioz,AdaRulApproach,b5840cc3-2680-4b68-8a0c-b124aae1ac81,2,3,femto,cnn,transductive,0.3129425346851349,0.1722303032875061,0.1681498885154724,0.4043721854686737,0.3245256841182709,1.1815890669822693
100,rul-adapt/benchmark/0zqsw4sb,AdaRulApproach,35398557-4f67-4c33-afc3-0ac5c0abfde2,3,1,femto,cnn,transductive,0.5809856057167053,0.004540632478892803,0.02416904643177986,0.49141401052474976,0.453254371881485,1.0210984349250793
101,rul-adapt/benchmark/yck6r23z,AdaRulApproach,ba0516c2-5a23-4fd8-96bc-e0bc1532b244,2,1,femto,cnn,transductive,0.3006351888179779,0.11662285774946211,0.10540003329515456,0.38911768794059753,0.33975979685783386,1.6100813746452332
102,rul-adapt/benchmark/imszsbcj,AdaRulApproach,35398557-4f67-4c33-afc3-0ac5c0abfde2,3,1,femto,cnn,transductive,0.5147757530212402,0.0029270383529365063,0.047016385942697525,0.42871344089508057,0.35506755113601685,0.9908578991889954
103,rul-adapt/benchmark/u7jsddzy,AdaRulApproach,ba0516c2-5a23-4fd8-96bc-e0bc1532b244,2,1,femto,cnn,transductive,0.39181873202323914,0.2091628909111023,0.2085700482130051,1.3394783735275269,0.8893579840660095,1.9765962362289429
104,rul-adapt/benchmark/29aql3ea,AdaRulApproach,35398557-4f67-4c33-afc3-0ac5c0abfde2,3,1,femto,cnn,transductive,0.5056544542312622,0.013738605193793774,0.07319049537181854,0.366873174905777,0.3790498971939087,1.0206909775733948
